YEAR,MONTH,DAY,DAY_OF_WEEK,AIRLINE,FLIGHT_NUMBER,TAIL_NUMBER,ORIGIN_AIRPORT,DESTINATION_AIRPORT,SCHEDULED_DEPARTURE,DEPARTURE_TIME,DEPARTURE_DELAY,TAXI_OUT,WHEELS_OFF,SCHEDULED_TIME,ELAPSED_TIME,AIR_TIME,DISTANCE,WHEELS_ON,TAXI_IN,SCHEDULED_ARRIVAL,ARRIVAL_TIME,ARRIVAL_DELAY,DIVERTED,CANCELLED,CANCELLATION_REASON,AIR_SYSTEM_DELAY,SECURITY_DELAY,AIRLINE_DELAY,LATE_AIRCRAFT_DELAY,WEATHER_DELAY
2015,1,1,4,AA,1473,N575AA,ATL,DFW,1345,1400,15,17,1417,150,151,122,731,1519,12,1515,1531,16,0,0,,1,0,3,12,0
2015,1,1,4,DL,1525,N353NB,SLC,JAC,1345,1503,78,17,1520,63,56,35,205,1555,4,1448,1559,71,0,0,,0,0,71,0,0
2015,1,1,4,DL,1586,N612DL,ATL,LGA,1345,1416,31,15,1431,135,123,99,762,1610,9,1600,1619,19,0,0,,0,0,7,12,0
2015,1,1,4,F9,1254,N910FR,MIA,LGA,1345,1402,17,15,1417,175,174,149,1096,1646,10,1640,1656,16,0,0,,0,0,13,3,0
2015,1,1,4,MQ,2870,N651MQ,DFW,PNS,1345,1432,47,26,1458,103,106,77,604,1615,3,1528,1618,50,0,0,,3,0,0,41,6
2015,1,1,4,MQ,3321,N941MQ,ORD,CWA,1345,1421,36,13,1434,58,57,43,212,1517,1,1443,1518,35,0,0,,0,0,35,0,0
2015,1,1,4,UA,1421,N76528,LGA,IAH,1347,1349,2,11,1400,252,267,239,1416,1659,17,1659,1716,17,0,0,,17,0,0,0,0
2015,1,1,4,UA,1502,N17233,ORD,IAH,1349,1405,16,12,1417,177,181,156,925,1653,13,1646,1706,20,0,0,,4,0,16,0,0
2015,1,1,4,US,742,N952UW,ORD,PHL,1350,1415,25,18,1433,124,114,88,678,1701,8,1654,1709,15,0,0,,0,0,2,13,0
2015,1,1,4,US,1840,N102UW,MSP,CLT,1350,1511,81,12,1523,144,133,110,930,1813,11,1714,1824,70,0,0,,0,0,0,70,0
2015,1,1,4,UA,785,N509UA,DEN,LAX,1350,1535,105,17,1552,154,121,97,862,1629,7,1524,1636,72,0,0,,0,0,16,56,0
2015,1,1,4,WN,4288,N685SW,ATL,MCO,1350,1432,42,12,1444,90,82,62,404,1546,8,1520,1554,34,0,0,,0,0,34,0,0
2015,1,1,4,WN,322,N7703A,DEN,STL,1350,1423,33,7,1430,115,99,89,770,1659,3,1645,1702,17,0,0,,0,0,12,5,0
2015,1,1,4,WN,1004,N8315C,ISP,TPA,1350,1409,19,11,1420,185,182,165,1034,1705,6,1655,1711,16,0,0,,0,0,16,0,0
2015,1,1,4,WN,456,N386SW,LAS,BOI,1350,1508,78,8,1516,105,92,81,519,1737,3,1635,1740,65,0,0,,0,0,2,63,0
2015,1,1,4,WN,745,N460WN,LAS,PHX,1350,1433,43,11,1444,65,63,46,255,1630,6,1555,1636,41,0,0,,0,0,33,8,0
2015,1,1,4,WN,1579,N429WN,LAS,SLC,1350,1407,17,9,1416,80,78,65,368,1621,4,1610,1625,15,0,0,,0,0,10,5,0
2015,1,1,4,WN,253,N428WN,LAX,DEN,1350,1414,24,9,1423,135,136,120,862,1723,7,1705,1730,25,0,0,,1,0,24,0,0
2015,1,1,4,WN,1735,N237WN,ALB,LAS,1350,1354,4,8,1402,340,355,343,2237,1645,4,1630,1649,19,0,0,,19,0,0,0,0
2015,1,1,4,WN,3772,N361SW,SAN,PHX,1350,1400,10,14,1414,70,76,46,304,1600,16,1600,1616,16,0,0,,6,0,10,0,0
2015,1,1,4,WN,834,N7752B,SMF,DEN,1350,1400,10,10,1410,135,169,146,909,1736,13,1705,1749,44,0,0,,34,0,10,0,0
2015,1,1,4,WN,4816,N8624J,STL,PHX,1350,1410,20,6,1416,210,214,190,1262,1626,18,1620,1644,24,0,0,,4,0,6,14,0
2015,1,1,4,AA,1633,N487AA,MSP,DFW,1350,1351,1,31,1422,155,185,139,852,1641,15,1625,1656,31,0,0,,31,0,0,0,0
2015,1,1,4,B6,1151,N590JB,TPA,SJU,1350,1454,64,11,1505,168,160,146,1237,1831,3,1738,1834,56,0,0,,0,0,23,33,0
2015,1,1,4,DL,2035,N981DL,ATL,MKE,1350,1423,33,20,1443,126,121,96,669,1519,5,1456,1524,28,0,0,,0,0,28,0,0
2015,1,1,4,DL,1499,N920DN,ATL,DEN,1350,1451,61,13,1504,212,184,165,1199,1549,6,1522,1555,33,0,0,,0,0,33,0,0
2015,1,1,4,MQ,2998,N652MQ,DFW,BTR,1350,1509,79,19,1528,78,78,55,383,1623,4,1508,1627,79,0,0,,0,0,79,0,0
2015,1,1,4,MQ,3118,N512MQ,ORD,MDT,1350,1511,81,10,1521,98,87,73,594,1734,4,1628,1738,70,0,0,,0,0,70,0,0
2015,1,1,4,MQ,3351,N657MQ,DFW,SAV,1350,1441,51,21,1502,133,135,111,925,1753,3,1703,1756,53,0,0,,2,0,51,0,0
2015,1,1,4,HA,173,N486HA,HNL,LIH,1351,1432,41,13,1445,39,41,23,102,1508,5,1430,1513,43,0,0,,0,0,2,41,0
2015,1,1,4,UA,489,N576UA,SFO,ORD,1352,1650,178,26,1716,257,250,216,1846,2252,8,2009,2300,171,0,0,,0,0,0,171,0
2015,1,1,4,AA,1412,N370AA,DFW,MIA,1352,1506,74,18,1524,163,158,133,1121,1837,7,1735,1844,69,0,0,,0,0,69,0,0
2015,1,1,4,EV,6033,N25134,SHV,IAH,1354,1414,20,9,1423,61,61,45,192,1508,7,1455,1515,20,0,0,,0,0,2,18,0
2015,1,1,4,US,690,N207UW,HNL,PHX,1355,1848,293,17,1905,355,344,320,2917,325,7,2250,332,282,0,0,,0,0,273,9,0
2015,1,1,4,US,1999,N117UW,ATL,CLT,1355,1452,57,11,1503,69,53,39,226,1542,3,1504,1545,41,0,0,,0,0,4,37,0
2015,1,1,4,WN,2432,N7749B,BUR,DEN,1355,1356,1,14,1410,130,151,128,850,1718,9,1705,1727,22,0,0,,22,0,0,0,0
